algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,1,10,10,2,41870,1,42
dfa/TTT,1,10,10,9,41676,1,43
dfa/dynamicTTT,2,10,10,3,40917,2,44
dfa/TTT,2,10,10,9,40549,2,43
dfa/dynamicTTT,3,10,10,3,40917,3,42
dfa/TTT,3,10,10,9,40549,3,41
dfa/dynamicTTT,4,10,10,3,40900,4,43
dfa/TTT,4,10,10,9,40520,4,44
dfa/dynamicTTT,5,10,10,3,40958,5,41
dfa/TTT,5,10,10,9,40483,5,42
dfa/dynamicTTT,6,10,10,3,40958,6,43
dfa/TTT,6,10,10,9,40483,6,42
dfa/dynamicTTT,7,10,10,3,40936,7,43
dfa/TTT,7,10,10,9,40442,7,43
dfa/dynamicTTT,8,10,10,3,40821,8,42
dfa/TTT,8,10,10,9,40330,8,40
dfa/dynamicTTT,9,10,10,3,40897,9,45
dfa/TTT,9,10,10,9,40313,9,43
dfa/dynamicTTT,10,10,10,1,41720,1,43
dfa/TTT,10,10,10,9,42240,1,44
dfa/dynamicTTT,11,10,10,1,41829,2,45
dfa/TTT,11,10,10,9,42361,2,42
dfa/dynamicTTT,12,10,10,1,42014,3,44
dfa/TTT,12,10,10,9,42546,3,44
dfa/dynamicTTT,13,10,10,1,42037,4,44
dfa/TTT,13,10,10,9,42569,4,43
dfa/dynamicTTT,14,10,10,1,41967,5,45
dfa/TTT,14,10,10,9,42499,5,45
dfa/dynamicTTT,15,10,10,1,41963,6,43
dfa/TTT,15,10,10,9,42494,6,44
dfa/dynamicTTT,16,10,10,1,41963,7,59
dfa/TTT,16,10,10,9,42494,7,44
dfa/dynamicTTT,17,10,10,1,42074,8,45
dfa/TTT,17,10,10,9,42604,8,45
dfa/dynamicTTT,18,10,10,1,41963,9,45
dfa/TTT,18,10,10,9,42494,9,43
dfa/dynamicTTT,19,10,10,1,39082,1,43
dfa/TTT,19,10,10,9,40708,1,43
dfa/dynamicTTT,20,10,10,1,38815,2,42
dfa/TTT,20,10,10,9,40442,2,41
dfa/dynamicTTT,21,10,10,1,38777,3,42
dfa/TTT,21,10,10,9,40403,3,43
dfa/dynamicTTT,22,10,10,1,39046,4,44
dfa/TTT,22,10,10,9,40672,4,43
dfa/dynamicTTT,23,10,10,1,39128,5,40
dfa/TTT,23,10,10,9,40783,5,40
dfa/dynamicTTT,24,10,10,1,39110,6,42
dfa/TTT,24,10,10,9,40765,6,43
dfa/dynamicTTT,25,10,10,1,38947,7,40
dfa/TTT,25,10,10,9,40602,7,43
dfa/dynamicTTT,26,10,10,1,38847,8,41
dfa/TTT,26,10,10,9,40502,8,42
dfa/dynamicTTT,27,10,10,1,38875,9,41
dfa/TTT,27,10,10,9,41224,9,44
dfa/dynamicTTT,28,10,10,1,40060,1,39
dfa/TTT,28,10,10,9,40181,1,41
dfa/dynamicTTT,29,10,10,1,39974,2,41
dfa/TTT,29,10,10,9,40108,2,43
dfa/dynamicTTT,30,10,10,1,39975,3,40
dfa/TTT,30,10,10,9,40109,3,41
dfa/dynamicTTT,31,10,10,1,40074,4,41
dfa/TTT,31,10,10,9,40207,4,40
dfa/dynamicTTT,32,10,10,1,39934,5,43
dfa/TTT,32,10,10,9,40083,5,42
dfa/dynamicTTT,33,10,10,2,40098,6,41
dfa/TTT,33,10,10,9,39915,6,40
dfa/dynamicTTT,34,10,10,2,39815,7,42
dfa/TTT,34,10,10,9,39646,7,42
dfa/dynamicTTT,35,10,10,2,40098,8,41
dfa/TTT,35,10,10,9,39915,8,41
dfa/dynamicTTT,36,10,10,2,40248,9,42
dfa/TTT,36,10,10,9,40139,9,42
dfa/dynamicTTT,37,10,10,1,39346,1,45
dfa/TTT,37,10,10,8,39934,1,42
dfa/dynamicTTT,38,10,10,1,39352,2,40
dfa/TTT,38,10,10,8,39972,2,39
dfa/dynamicTTT,39,10,10,1,39343,3,42
dfa/TTT,39,10,10,8,39957,3,42
dfa/dynamicTTT,40,10,10,1,39223,4,45
dfa/TTT,40,10,10,8,39793,4,41
dfa/dynamicTTT,41,10,10,1,38368,5,81
dfa/TTT,41,10,10,8,40293,5,98
dfa/dynamicTTT,42,10,10,1,38340,6,46
dfa/TTT,42,10,10,8,40333,6,55
dfa/dynamicTTT,43,10,10,2,40681,7,46
dfa/TTT,43,10,10,8,41186,7,46
dfa/dynamicTTT,44,10,10,2,40683,8,44
dfa/TTT,44,10,10,8,41187,8,44
dfa/dynamicTTT,45,10,10,2,40683,9,43
dfa/TTT,45,10,10,8,41187,9,42
dfa/dynamicTTT,46,10,10,1,39357,1,43
dfa/TTT,46,10,10,9,39600,1,44
dfa/dynamicTTT,47,10,10,1,39228,2,43
dfa/TTT,47,10,10,9,39472,2,41
dfa/dynamicTTT,48,10,10,1,39228,3,43
dfa/TTT,48,10,10,9,39472,3,43
dfa/dynamicTTT,49,10,10,1,39253,4,44
dfa/TTT,49,10,10,9,39497,4,56
dfa/dynamicTTT,50,10,10,3,37734,5,43
dfa/TTT,50,10,10,9,37837,5,45
dfa/dynamicTTT,51,10,10,3,37721,6,45
dfa/TTT,51,10,10,9,37822,6,48
dfa/dynamicTTT,52,10,10,3,37698,7,40
dfa/TTT,52,10,10,9,37796,7,44
dfa/dynamicTTT,53,10,10,3,37698,8,42
dfa/TTT,53,10,10,9,37796,8,43
dfa/dynamicTTT,54,10,10,3,37780,9,52
dfa/TTT,54,10,10,9,37880,9,54
dfa/dynamicTTT,55,10,10,1,40857,1,43
dfa/TTT,55,10,10,9,42402,1,43
dfa/dynamicTTT,56,10,10,1,40833,2,66
dfa/TTT,56,10,10,9,42398,2,69
dfa/dynamicTTT,57,10,10,1,40992,3,67
dfa/TTT,57,10,10,9,42566,3,69
dfa/dynamicTTT,58,10,10,1,40837,4,70
dfa/TTT,58,10,10,9,42385,4,63
dfa/dynamicTTT,59,10,10,1,40851,5,49
dfa/TTT,59,10,10,9,42384,5,46
dfa/dynamicTTT,60,10,10,1,40884,6,43
dfa/TTT,60,10,10,9,42399,6,48
dfa/dynamicTTT,61,10,10,1,40884,7,43
dfa/TTT,61,10,10,9,42399,7,44
dfa/dynamicTTT,62,10,10,1,41253,8,57
dfa/TTT,62,10,10,9,42766,8,46
dfa/dynamicTTT,63,10,10,1,41033,9,46
dfa/TTT,63,10,10,9,42571,9,47
dfa/dynamicTTT,64,10,10,1,39632,1,45
dfa/TTT,64,10,10,9,38844,1,44
dfa/dynamicTTT,65,10,10,1,39668,2,42
dfa/TTT,65,10,10,9,38760,2,42
dfa/dynamicTTT,66,10,10,1,39780,3,42
dfa/TTT,66,10,10,9,38766,3,40
dfa/dynamicTTT,67,10,10,1,39764,4,43
dfa/TTT,67,10,10,9,38756,4,42
dfa/dynamicTTT,68,10,10,1,39749,5,42
dfa/TTT,68,10,10,9,38730,5,40
dfa/dynamicTTT,69,10,10,2,38776,6,42
dfa/TTT,69,10,10,9,41481,6,42
dfa/dynamicTTT,70,10,10,2,38772,7,41
dfa/TTT,70,10,10,9,41463,7,45
dfa/dynamicTTT,71,10,10,2,38775,8,44
