algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s10_1,9,10,3,41317,1,77
dfa/TTT,s10_1,9,10,8,41443,1,75
dfa/dynamicTTT,s10_2,8,10,3,34413,2,63
dfa/TTT,s10_2,8,10,6,33949,2,65
dfa/dynamicTTT,s10_3,7,10,2,26720,3,78
dfa/TTT,s10_3,7,10,5,26561,3,93
dfa/dynamicTTT,s10_4,6,10,3,22897,4,52
dfa/TTT,s10_4,6,10,5,22849,4,49
dfa/dynamicTTT,s10_5,1,10,1,1504,5,3
dfa/TTT,s10_5,1,10,1,1232,5,2
dfa/dynamicTTT,s10_6,4,10,3,11894,6,24
dfa/TTT,s10_6,4,10,3,11643,6,24
dfa/dynamicTTT,s10_7,3,10,2,6224,7,13
dfa/TTT,s10_7,3,10,2,5963,7,12
dfa/dynamicTTT,s10_8,2,10,1,2624,8,5
dfa/TTT,s10_8,2,10,1,2352,8,5
dfa/dynamicTTT,s10_9,1,10,1,1504,9,3
dfa/TTT,s10_9,1,10,1,1232,9,3
dfa/dynamicTTT,s10_10,9,10,4,36487,1,122
dfa/TTT,s10_10,9,10,8,36816,1,72
dfa/dynamicTTT,s10_11,8,10,6,30800,2,62
dfa/TTT,s10_11,8,10,7,30557,2,113
dfa/dynamicTTT,s10_12,7,10,5,25016,3,60
dfa/TTT,s10_12,7,10,6,24790,3,58
dfa/dynamicTTT,s10_13,6,10,4,20856,4,44
dfa/TTT,s10_13,6,10,5,20685,4,46
dfa/dynamicTTT,s10_14,5,10,4,15868,5,31
dfa/TTT,s10_14,5,10,4,15654,5,30
dfa/dynamicTTT,s10_15,4,10,3,10382,6,23
dfa/TTT,s10_15,4,10,3,10164,6,21
dfa/dynamicTTT,s10_16,3,10,2,6104,7,13
dfa/TTT,s10_16,3,10,2,5883,7,12
dfa/dynamicTTT,s10_17,1,10,1,1413,8,3
dfa/TTT,s10_17,1,10,1,1232,8,2
dfa/dynamicTTT,s10_19,9,10,3,34445,1,71
dfa/TTT,s10_19,9,10,8,38597,1,70
dfa/dynamicTTT,s10_20,8,10,3,29692,2,57
dfa/TTT,s10_20,8,10,7,32572,2,67
dfa/dynamicTTT,s10_21,7,10,2,24176,3,46
dfa/TTT,s10_21,7,10,6,26453,3,53
dfa/dynamicTTT,s10_22,6,10,2,18701,4,36
dfa/TTT,s10_22,6,10,5,20585,4,41
dfa/dynamicTTT,s10_23,5,10,3,15602,5,58
dfa/TTT,s10_23,5,10,4,15447,5,68
dfa/dynamicTTT,s10_24,4,10,2,10645,6,21
dfa/TTT,s10_24,4,10,3,10489,6,21
dfa/dynamicTTT,s10_25,1,10,1,1595,7,3
dfa/TTT,s10_25,1,10,1,1232,7,2
dfa/dynamicTTT,s10_26,2,10,1,2726,8,9
dfa/TTT,s10_26,2,10,1,2352,8,5
dfa/dynamicTTT,s10_27,1,10,1,1595,9,3
dfa/TTT,s10_27,1,10,1,1232,9,2
dfa/dynamicTTT,s10_28,9,10,3,34190,1,74
dfa/TTT,s10_28,9,10,8,35156,1,70
dfa/dynamicTTT,s10_29,8,10,4,27630,2,62
dfa/TTT,s10_29,8,10,7,29609,2,56
dfa/dynamicTTT,s10_30,7,10,2,24423,3,47
dfa/TTT,s10_30,7,10,6,24448,3,50
dfa/dynamicTTT,s10_31,6,10,3,21315,4,93
dfa/TTT,s10_31,6,10,5,22125,4,51
dfa/dynamicTTT,s10_32,5,10,3,14452,5,30
dfa/TTT,s10_32,5,10,4,14186,5,30
dfa/dynamicTTT,s10_33,4,10,2,10132,6,22
dfa/TTT,s10_33,4,10,3,9868,6,20
dfa/dynamicTTT,s10_34,2,10,1,2662,7,5
dfa/TTT,s10_34,2,10,1,2352,7,4
dfa/dynamicTTT,s10_35,1,10,1,1504,8,5
dfa/TTT,s10_35,1,10,1,1232,8,2
dfa/dynamicTTT,s10_37,9,10,3,34348,1,75
dfa/TTT,s10_37,9,10,8,34736,1,67
dfa/dynamicTTT,s10_38,8,10,2,29841,2,57
dfa/TTT,s10_38,8,10,7,29948,2,65
dfa/dynamicTTT,s10_39,7,10,5,23355,3,54
dfa/TTT,s10_39,7,10,6,23058,3,52
dfa/dynamicTTT,s10_40,6,10,4,19783,4,40
dfa/TTT,s10_40,6,10,5,19526,4,38
dfa/dynamicTTT,s10_41,5,10,2,15755,5,33
dfa/TTT,s10_41,5,10,3,14670,5,34
dfa/dynamicTTT,s10_42,4,10,1,11833,6,24
dfa/TTT,s10_42,4,10,2,10736,6,23
dfa/dynamicTTT,s10_43,1,10,1,1595,7,5
dfa/TTT,s10_43,1,10,1,1232,7,3
dfa/dynamicTTT,s10_44,1,10,1,1595,8,5
dfa/TTT,s10_44,1,10,1,1232,8,3
dfa/dynamicTTT,s10_46,9,10,3,33767,1,79
dfa/TTT,s10_46,9,10,8,33960,1,69
dfa/dynamicTTT,s10_47,8,10,2,27593,2,61
dfa/TTT,s10_47,8,10,6,28174,2,64
dfa/dynamicTTT,s10_48,7,10,2,21770,3,43
dfa/TTT,s10_48,7,10,5,22164,3,43
dfa/dynamicTTT,s10_49,6,10,2,18001,4,38
dfa/TTT,s10_49,6,10,5,18180,4,36
dfa/dynamicTTT,s10_50,5,10,2,17216,5,51
dfa/TTT,s10_50,5,10,4,17287,5,45
dfa/dynamicTTT,s10_51,4,10,1,10773,6,21
dfa/TTT,s10_51,4,10,3,10706,6,21
dfa/dynamicTTT,s10_52,3,10,1,5965,7,13
dfa/TTT,s10_52,3,10,2,5767,7,12
dfa/dynamicTTT,s10_53,2,10,1,2544,8,5
dfa/TTT,s10_53,2,10,1,2352,8,5
dfa/dynamicTTT,s10_54,1,10,1,1595,9,3
dfa/TTT,s10_54,1,10,1,1232,9,2
dfa/dynamicTTT,s10_55,9,10,2,37851,1,115
dfa/TTT,s10_55,9,10,8,38068,1,88
dfa/dynamicTTT,s10_56,8,10,3,30883,2,66
dfa/TTT,s10_56,8,10,7,30911,2,58
dfa/dynamicTTT,s10_57,7,10,2,25387,3,51
dfa/TTT,s10_57,7,10,6,25391,3,52
dfa/dynamicTTT,s10_58,6,10,2,20030,4,40
dfa/TTT,s10_58,6,10,5,19963,4,45
dfa/dynamicTTT,s10_59,5,10,2,14413,5,29
dfa/TTT,s10_59,5,10,4,14154,5,28
dfa/dynamicTTT,s10_60,3,10,2,6449,6,13
dfa/TTT,s10_60,3,10,2,6088,6,15
dfa/dynamicTTT,s10_61,2,10,1,2715,7,5
dfa/TTT,s10_61,2,10,1,2352,7,4
dfa/dynamicTTT,s10_62,1,10,1,1604,8,3
dfa/TTT,s10_62,1,10,1,1232,8,2
dfa/dynamicTTT,s10_63,1,10,1,1604,9,3
dfa/TTT,s10_63,1,10,1,1232,9,2
dfa/dynamicTTT,s10_64,9,10,1,36859,1,71
dfa/TTT,s10_64,9,10,8,37093,1,74
dfa/dynamicTTT,s10_65,8,10,3,30823,2,61
dfa/TTT,s10_65,8,10,7,29062,2,53
dfa/dynamicTTT,s10_66,7,10,2,24650,3,71
dfa/TTT,s10_66,7,10,6,22795,3,44
dfa/dynamicTTT,s10_67,6,10,3,20215,4,37
dfa/TTT,s10_67,6,10,5,19884,4,36
