algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration,date
mealy/TTT,/Nordsec16/client_102.dot,12,10,5,116,4,61,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/client_102.dot,12,10,1,189,5,59,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/client_102.dot,12,10,5,116,5,63,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/client_102.dot,12,10,5,116,6,62,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/client_102.dot,12,10,5,116,6,61,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/client_102.dot,12,10,5,116,7,60,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/client_102.dot,12,10,5,116,7,63,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/client_102.dot,12,10,5,132,8,61,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/client_102.dot,12,10,5,116,8,59,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/client_110-pre1.dot,12,10,1,116,1,60,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/client_110-pre1.dot,12,10,5,116,1,61,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/client_110-pre1.dot,12,10,1,116,2,62,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/client_110-pre1.dot,12,10,5,116,2,63,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/client_110-pre1.dot,12,10,1,189,4,60,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/client_110-pre1.dot,12,10,5,116,4,62,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/client_110-pre1.dot,12,10,1,181,5,61,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/client_110-pre1.dot,12,10,5,116,5,62,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/client_110-pre1.dot,12,10,1,189,6,61,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/client_110-pre1.dot,12,10,5,116,6,63,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/client_110-pre1.dot,12,10,5,116,7,59,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/client_110-pre1.dot,12,10,5,116,7,59,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/client_110-pre1.dot,12,10,5,116,8,62,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/client_110-pre1.dot,12,10,5,116,8,61,2015-12-10 14:23:10
mealy/dynamicTTT,/Nordsec16/client_110-pre1.dot,12,10,5,132,9,59,2015-12-10 14:23:10
mealy/TTT,/Nordsec16/client_110-pre1.dot,12,10,5,116,9,58,2015-12-10 14:23:10
