algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration,date
mealy/dynamicTTT,/Nordsec16/server_101.dot,26,10,6,375,2,156,2012-03-14 12:39:00
mealy/TTT,/Nordsec16/server_101.dot,26,10,12,353,2,161,2012-03-14 12:39:00
mealy/dynamicTTT,/Nordsec16/server_101.dot,26,10,7,386,3,158,2012-03-14 12:39:00
mealy/TTT,/Nordsec16/server_101.dot,26,10,12,353,3,159,2012-03-14 12:39:00
mealy/dynamicTTT,/Nordsec16/server_101.dot,26,10,6,428,4,155,2012-03-14 12:39:00
mealy/TTT,/Nordsec16/server_101.dot,26,10,12,353,4,160,2012-03-14 12:39:00
mealy/dynamicTTT,/Nordsec16/server_101.dot,26,10,6,428,5,159,2012-03-14 12:39:00
mealy/TTT,/Nordsec16/server_101.dot,26,10,12,353,5,156,2012-03-14 12:39:00
mealy/dynamicTTT,/Nordsec16/server_101.dot,26,10,6,464,6,154,2012-03-14 12:39:00
mealy/TTT,/Nordsec16/server_101.dot,26,10,12,353,6,161,2012-03-14 12:39:00
mealy/dynamicTTT,/Nordsec16/server_101k.dot,15,10,1,346,1,77,2015-01-08 14:03:40
mealy/TTT,/Nordsec16/server_101k.dot,15,10,8,189,1,86,2015-01-08 14:03:40
mealy/dynamicTTT,/Nordsec16/server_101k.dot,15,10,4,281,2,86,2015-01-08 14:03:40
mealy/TTT,/Nordsec16/server_101k.dot,15,10,8,189,2,83,2015-01-08 14:03:40
mealy/dynamicTTT,/Nordsec16/server_101k.dot,15,10,4,281,3,85,2015-01-08 14:03:40
mealy/TTT,/Nordsec16/server_101k.dot,15,10,8,189,3,83,2015-01-08 14:03:40
mealy/dynamicTTT,/Nordsec16/server_101k.dot,15,10,4,281,4,85,2015-01-08 14:03:40
mealy/TTT,/Nordsec16/server_101k.dot,15,10,8,189,4,84,2015-01-08 14:03:40
mealy/dynamicTTT,/Nordsec16/server_101k.dot,15,10,4,330,5,84,2015-01-08 14:03:40
mealy/TTT,/Nordsec16/server_101k.dot,15,10,8,189,5,82,2015-01-08 14:03:40
mealy/dynamicTTT,/Nordsec16/server_101k.dot,15,10,4,330,6,82,2015-01-08 14:03:40
mealy/TTT,/Nordsec16/server_101k.dot,15,10,8,189,6,81,2015-01-08 14:03:40
mealy/dynamicTTT,/Nordsec16/server_101k.dot,15,10,4,365,7,83,2015-01-08 14:03:40
mealy/TTT,/Nordsec16/server_101k.dot,15,10,8,189,7,82,2015-01-08 14:03:40
mealy/dynamicTTT,/Nordsec16/server_102.dot,13,10,1,178,1,66,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/server_102.dot,13,10,6,153,1,65,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/server_102.dot,13,10,1,321,2,66,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/server_102.dot,13,10,6,153,2,66,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/server_102.dot,13,10,2,244,3,68,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/server_102.dot,13,10,6,153,3,67,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/server_102.dot,13,10,2,244,4,67,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/server_102.dot,13,10,6,153,4,66,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/server_102.dot,13,10,2,255,5,68,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/server_102.dot,13,10,6,153,5,67,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/server_102.dot,13,10,2,293,6,65,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/server_102.dot,13,10,6,153,6,67,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/server_102.dot,13,10,2,293,7,66,2015-01-22 16:12:26
mealy/TTT,/Nordsec16/server_102.dot,13,10,6,153,7,64,2015-01-22 16:12:26
mealy/dynamicTTT,/Nordsec16/server_102.dot,13,10,2,326,8,65,2015-01-22 16:12:26
