date	version	qsize
2009-01-07 10:50:54	0_9_8j	12
2009-11-05 16:08:52	0_9_8l	12
2010-02-25 17:18:23	0_9_8m	12
2010-03-29 13:11:54	1_0_0	12
2012-03-14 12:39:00	1_0_1	12
2014-01-06 14:36:07	1_0_1f	12
2014-06-05 10:42:13	1_0_0m	7
2014-06-05 10:38:57	0_9_8za	7
2014-06-05 10:45:00	1_0_1h	7
2015-01-22 16:12:26	1_0_2	7
2015-12-10 14:23:10	1_1_0-pre1	6

