algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s10_1,10,10,1,37002,1,106
dfa/TTT,s10_1,10,10,9,36458,1,155
dfa/dynamicTTT,s10_2,10,10,1,37113,2,94
dfa/TTT,s10_2,10,10,9,36482,2,108
dfa/dynamicTTT,s10_3,10,10,1,37273,3,103
dfa/TTT,s10_3,10,10,9,36526,3,88
dfa/dynamicTTT,s10_4,10,10,1,37421,4,97
dfa/TTT,s10_4,10,10,9,36556,4,94
dfa/dynamicTTT,s10_5,10,10,1,37521,5,111
dfa/TTT,s10_5,10,10,9,36536,5,101
dfa/dynamicTTT,s10_6,10,10,1,37382,6,86
dfa/TTT,s10_6,10,10,9,36398,6,94
dfa/dynamicTTT,s10_7,10,10,1,37577,7,99
dfa/TTT,s10_7,10,10,9,36431,7,111
dfa/dynamicTTT,s10_8,10,10,1,37578,8,96
dfa/TTT,s10_8,10,10,9,36434,8,90
dfa/dynamicTTT,s10_9,10,10,2,35907,9,93
dfa/TTT,s10_9,10,10,9,36283,9,83
dfa/dynamicTTT,s10_10,10,10,3,33768,1,86
dfa/TTT,s10_10,10,10,9,33785,1,87
dfa/dynamicTTT,s10_11,10,10,2,33862,2,133
dfa/TTT,s10_11,10,10,9,33935,2,98
dfa/dynamicTTT,s10_12,10,10,2,33888,3,77
dfa/TTT,s10_12,10,10,9,33958,3,101
dfa/dynamicTTT,s10_13,10,10,2,33930,4,85
dfa/TTT,s10_13,10,10,9,34000,4,88
dfa/dynamicTTT,s10_14,10,10,2,33826,5,130
dfa/TTT,s10_14,10,10,9,33897,5,130
dfa/dynamicTTT,s10_15,10,10,2,33919,6,95
dfa/TTT,s10_15,10,10,9,33990,6,75
dfa/dynamicTTT,s10_16,10,10,2,33919,7,100
dfa/TTT,s10_16,10,10,9,33990,7,80
dfa/dynamicTTT,s10_17,10,10,2,33812,8,87
dfa/TTT,s10_17,10,10,9,33881,8,99
dfa/dynamicTTT,s10_18,10,10,2,33846,9,82
dfa/TTT,s10_18,10,10,9,33912,9,77
dfa/dynamicTTT,s10_19,10,10,1,40625,1,144
dfa/TTT,s10_19,10,10,9,41147,1,125
dfa/dynamicTTT,s10_20,10,10,1,40685,2,86
dfa/TTT,s10_20,10,10,9,41178,2,126
dfa/dynamicTTT,s10_21,10,10,1,40640,3,123
dfa/TTT,s10_21,10,10,9,41133,3,124
dfa/dynamicTTT,s10_22,10,10,1,40640,4,173
dfa/TTT,s10_22,10,10,9,41133,4,119
dfa/dynamicTTT,s10_23,10,10,1,40898,5,103
dfa/TTT,s10_23,10,10,9,40961,5,109
dfa/dynamicTTT,s10_24,10,10,1,40958,6,91
dfa/TTT,s10_24,10,10,9,41031,6,123
dfa/dynamicTTT,s10_25,10,10,2,42971,7,100
dfa/dynamicTTT,s10_26,10,10,1,37723,1,81
dfa/TTT,s10_26,10,10,9,39924,1,128
dfa/dynamicTTT,s10_27,10,10,1,37739,2,107
dfa/TTT,s10_27,10,10,9,39940,2,86
dfa/dynamicTTT,s10_28,10,10,1,37739,3,84
dfa/TTT,s10_28,10,10,9,39940,3,89
dfa/dynamicTTT,s10_29,10,10,1,37727,4,83
dfa/TTT,s10_29,10,10,9,39928,4,78
dfa/dynamicTTT,s10_30,10,10,1,37931,5,107
dfa/TTT,s10_30,10,10,9,40128,5,99
dfa/dynamicTTT,s10_31,10,10,1,38008,6,54
dfa/TTT,s10_31,10,10,9,40207,6,41
dfa/dynamicTTT,s10_32,10,10,1,37177,7,48
dfa/TTT,s10_32,10,10,9,39319,7,41
dfa/dynamicTTT,s10_33,10,10,1,37195,8,44
dfa/TTT,s10_33,10,10,9,39337,8,39
dfa/dynamicTTT,s10_34,10,10,1,37261,9,43
dfa/TTT,s10_34,10,10,9,38771,9,39
dfa/dynamicTTT,s10_35,10,10,1,38108,1,49
dfa/TTT,s10_35,10,10,9,40000,1,45
dfa/dynamicTTT,s10_36,10,10,1,37972,2,42
dfa/TTT,s10_36,10,10,9,39872,2,41
dfa/dynamicTTT,s10_37,10,10,1,37955,3,44
dfa/TTT,s10_37,10,10,9,39858,3,45
dfa/dynamicTTT,s10_38,10,10,1,37972,4,40
dfa/TTT,s10_38,10,10,9,39860,4,43
dfa/dynamicTTT,s10_39,10,10,1,37972,5,42
dfa/TTT,s10_39,10,10,9,39860,5,47
dfa/dynamicTTT,s10_40,10,10,1,38082,6,41
dfa/TTT,s10_40,10,10,9,39978,6,50
dfa/dynamicTTT,s10_41,10,10,1,38082,7,42
dfa/TTT,s10_41,10,10,9,39978,7,55
dfa/dynamicTTT,s10_42,10,10,1,38089,8,43
dfa/TTT,s10_42,10,10,9,39958,8,52
dfa/dynamicTTT,s10_43,10,10,1,38203,9,46
dfa/TTT,s10_43,10,10,9,40080,9,42
dfa/dynamicTTT,s10_44,10,10,1,46873,1,58
dfa/TTT,s10_44,10,10,9,49112,1,49
dfa/dynamicTTT,s10_45,10,10,1,46710,2,50
dfa/TTT,s10_45,10,10,9,48936,2,57
dfa/dynamicTTT,s10_46,10,10,1,46451,3,49
dfa/TTT,s10_46,10,10,9,48567,3,51
dfa/dynamicTTT,s10_47,10,10,1,45224,4,54
dfa/TTT,s10_47,10,10,9,47145,4,49
dfa/dynamicTTT,s10_48,10,10,2,47320,5,57
dfa/TTT,s10_48,10,10,9,47864,5,51
dfa/dynamicTTT,s10_49,10,10,2,47320,6,48
dfa/TTT,s10_49,10,10,9,47864,6,50
dfa/dynamicTTT,s10_50,10,10,3,46522,7,46
dfa/TTT,s10_50,10,10,9,45188,7,50
dfa/dynamicTTT,s10_51,10,10,3,46703,8,49
dfa/TTT,s10_51,10,10,9,45175,8,54
dfa/dynamicTTT,s10_52,10,10,3,46603,9,63
dfa/TTT,s10_52,10,10,9,44896,9,49
dfa/dynamicTTT,s10_53,10,10,3,40375,1,42
dfa/TTT,s10_53,10,10,9,42484,1,44
