algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s50_1,50,10,1,325963,1,894
dfa/TTT,s50_1,50,10,46,349920,1,816
dfa/dynamicTTT,s50_2,50,10,1,325947,2,841
dfa/TTT,s50_2,50,10,46,349913,2,934
dfa/dynamicTTT,s50_3,50,10,1,325785,3,875
dfa/TTT,s50_3,50,10,46,349669,3,856
dfa/dynamicTTT,s50_4,50,10,1,327643,4,825
dfa/TTT,s50_4,50,10,46,349599,4,825
dfa/dynamicTTT,s50_5,50,10,1,327662,5,850
dfa/TTT,s50_5,50,10,46,349657,5,853
dfa/dynamicTTT,s50_6,50,10,1,327644,6,850
dfa/TTT,s50_6,50,10,46,349613,6,808
dfa/dynamicTTT,s50_7,50,10,1,327774,7,810
dfa/TTT,s50_7,50,10,46,349573,7,861
dfa/dynamicTTT,s50_8,50,10,1,328273,8,374
dfa/TTT,s50_8,50,10,46,349719,8,382
dfa/dynamicTTT,s50_9,50,10,1,328361,9,401
dfa/TTT,s50_9,50,10,46,349713,9,411
dfa/dynamicTTT,s50_10,50,10,1,333641,1,384
dfa/TTT,s50_10,50,10,48,352673,1,360
dfa/dynamicTTT,s50_11,50,10,1,333844,2,385
dfa/TTT,s50_11,50,10,48,352828,2,371
dfa/dynamicTTT,s50_12,50,10,1,333844,3,374
dfa/TTT,s50_12,50,10,48,352828,3,399
dfa/dynamicTTT,s50_13,50,10,1,333895,4,386
dfa/TTT,s50_13,50,10,48,352867,4,400
dfa/dynamicTTT,s50_14,50,10,1,334108,5,387
dfa/TTT,s50_14,50,10,48,353122,5,390
dfa/dynamicTTT,s50_15,50,10,1,334218,6,378
dfa/TTT,s50_15,50,10,48,353229,6,397
dfa/dynamicTTT,s50_16,50,10,2,335181,7,390
dfa/TTT,s50_16,50,10,48,349962,7,375
dfa/dynamicTTT,s50_17,50,10,2,335305,8,366
dfa/TTT,s50_17,50,10,48,350071,8,383
dfa/dynamicTTT,s50_18,50,10,2,334930,9,397
dfa/TTT,s50_18,50,10,48,349740,9,414
dfa/dynamicTTT,s50_19,50,10,1,324685,1,371
dfa/TTT,s50_19,65,10,63,484515,1,590
dfa/dynamicTTT,s50_20,50,10,2,324804,2,392
dfa/TTT,s50_20,65,10,63,485729,2,594
dfa/dynamicTTT,s50_21,50,10,2,324921,3,376
dfa/TTT,s50_21,65,10,63,485694,3,628
dfa/dynamicTTT,s50_22,50,10,2,325117,4,375
dfa/TTT,s50_22,65,10,63,485814,4,765
dfa/dynamicTTT,s50_23,50,10,3,325735,5,913
dfa/TTT,s50_23,65,10,63,488677,5,1329
dfa/dynamicTTT,s50_24,50,10,3,325584,6,931
dfa/TTT,s50_24,65,10,63,488267,6,1286
dfa/dynamicTTT,s50_25,50,10,3,325487,7,796
dfa/TTT,s50_25,65,10,63,484608,7,1249
dfa/dynamicTTT,s50_26,50,10,3,325584,8,804
dfa/TTT,s50_26,65,10,63,484694,8,1217
dfa/dynamicTTT,s50_27,50,10,3,325509,9,383
dfa/TTT,s50_27,65,10,63,492347,9,601
dfa/dynamicTTT,s50_28,50,10,1,331402,1,393
dfa/TTT,s50_28,64,10,61,486918,1,563
dfa/dynamicTTT,s50_29,50,10,1,331311,2,393
dfa/TTT,s50_29,64,10,61,487021,2,560
dfa/dynamicTTT,s50_30,50,10,1,331630,3,373
dfa/TTT,s50_30,64,10,62,492329,3,584
dfa/dynamicTTT,s50_31,50,10,2,332691,4,375
dfa/TTT,s50_31,64,10,62,492463,4,574
dfa/dynamicTTT,s50_32,50,10,2,332790,5,412
dfa/TTT,s50_32,64,10,62,492488,5,584
dfa/dynamicTTT,s50_33,50,10,2,332759,6,372
dfa/TTT,s50_33,64,10,62,492256,6,577
dfa/dynamicTTT,s50_34,50,10,2,332734,7,396
dfa/TTT,s50_34,64,10,62,492183,7,580
dfa/dynamicTTT,s50_35,50,10,3,334270,8,393
dfa/TTT,s50_35,60,10,58,454792,8,538
dfa/dynamicTTT,s50_36,50,10,3,334397,9,408
dfa/TTT,s50_36,60,10,58,454927,9,614
dfa/dynamicTTT,s50_37,50,10,2,336712,1,827
dfa/TTT,s50_37,50,10,49,365804,1,826
dfa/dynamicTTT,s50_38,50,10,3,335606,2,773
dfa/TTT,s50_38,50,10,49,365620,2,885
dfa/dynamicTTT,s50_39,50,10,5,334130,3,757
dfa/TTT,s50_39,50,10,49,367075,3,793
dfa/dynamicTTT,s50_40,50,10,6,336743,4,826
dfa/TTT,s50_40,50,10,48,368513,4,857
dfa/dynamicTTT,s50_41,50,10,6,336512,5,903
dfa/TTT,s50_41,50,10,48,368511,5,842
dfa/dynamicTTT,s50_42,50,10,6,336540,6,685
dfa/TTT,s50_42,50,10,48,368504,6,399
dfa/dynamicTTT,s50_43,50,10,6,336541,7,377
dfa/TTT,s50_43,50,10,48,368643,7,390
dfa/dynamicTTT,s50_44,50,10,6,333187,8,378
dfa/TTT,s50_44,50,10,48,365992,8,390
dfa/dynamicTTT,s50_45,50,10,6,333189,9,366
dfa/TTT,s50_45,50,10,48,364802,9,426
dfa/dynamicTTT,s50_46,50,10,1,324053,1,349
dfa/TTT,s50_46,50,10,48,348675,1,374
dfa/dynamicTTT,s50_47,50,10,2,319581,2,396
dfa/TTT,s50_47,50,10,46,351410,2,392
dfa/dynamicTTT,s50_48,50,10,2,319523,3,353
dfa/TTT,s50_48,50,10,47,352296,3,386
dfa/dynamicTTT,s50_49,50,10,2,319394,4,403
dfa/TTT,s50_49,50,10,47,352165,4,390
dfa/dynamicTTT,s50_50,50,10,2,319317,5,372
dfa/TTT,s50_50,50,10,47,352066,5,391
dfa/dynamicTTT,s50_51,50,10,2,319293,6,377
dfa/TTT,s50_51,50,10,47,352056,6,362
dfa/dynamicTTT,s50_52,50,10,2,319196,7,352
dfa/TTT,s50_52,50,10,47,352071,7,364
dfa/dynamicTTT,s50_53,50,10,2,319356,8,362
dfa/TTT,s50_53,50,10,47,352237,8,372
dfa/dynamicTTT,s50_54,50,10,2,319627,9,377
dfa/TTT,s50_54,50,10,47,352271,9,375
dfa/dynamicTTT,s50_55,50,10,1,326253,1,386
dfa/TTT,s50_55,50,10,48,339106,1,658
dfa/dynamicTTT,s50_56,50,10,1,326129,2,859
dfa/TTT,s50_56,50,10,48,339043,2,764
dfa/dynamicTTT,s50_57,50,10,1,326258,3,851
dfa/TTT,s50_57,50,10,48,339174,3,731
dfa/dynamicTTT,s50_58,50,10,2,325908,4,736
dfa/TTT,s50_58,50,10,48,342404,4,787
dfa/dynamicTTT,s50_59,50,10,3,325496,5,802
dfa/TTT,s50_59,50,10,48,340558,5,824
dfa/dynamicTTT,s50_60,50,10,3,325495,6,873
dfa/TTT,s50_60,50,10,48,340645,6,781
dfa/dynamicTTT,s50_61,50,10,3,325542,7,757
dfa/TTT,s50_61,50,10,48,340668,7,813
dfa/dynamicTTT,s50_62,50,10,3,325514,8,789
dfa/TTT,s50_62,50,10,48,340739,8,812
dfa/dynamicTTT,s50_63,50,10,3,325667,9,804
dfa/TTT,s50_63,50,10,48,340888,9,804
dfa/dynamicTTT,s50_64,50,10,1,333054,1,739
dfa/TTT,s50_64,50,10,49,368898,1,426
dfa/dynamicTTT,s50_65,50,10,2,334553,2,373
dfa/TTT,s50_65,50,10,49,369854,2,369
dfa/dynamicTTT,s50_66,50,10,2,334349,3,377
dfa/TTT,s50_66,50,10,49,369649,3,372
dfa/dynamicTTT,s50_67,50,10,2,334338,4,372
dfa/TTT,s50_67,50,10,49,369596,4,383
dfa/dynamicTTT,s50_68,50,10,3,336071,5,358
dfa/TTT,s50_68,50,10,48,367797,5,377
dfa/dynamicTTT,s50_69,50,10,3,337151,6,359
dfa/TTT,s50_69,50,10,48,367545,6,393
dfa/dynamicTTT,s50_70,50,10,3,337574,7,343
dfa/TTT,s50_70,50,10,48,369665,7,348
dfa/dynamicTTT,s50_71,50,10,3,337815,8,339
dfa/TTT,s50_71,50,10,48,372020,8,348
dfa/dynamicTTT,s50_72,50,10,3,333063,9,348
dfa/TTT,s50_72,50,10,49,372584,9,344
dfa/dynamicTTT,s50_73,50,10,1,322940,1,342
dfa/TTT,s50_73,50,10,49,351243,1,339
dfa/dynamicTTT,s50_74,50,10,2,324648,2,342
dfa/TTT,s50_74,50,10,49,352019,2,335
dfa/dynamicTTT,s50_75,50,10,2,323591,3,344
dfa/TTT,s50_75,50,10,49,350947,3,338
dfa/dynamicTTT,s50_76,50,10,2,323760,4,341
dfa/TTT,s50_76,50,10,49,350989,4,340
dfa/dynamicTTT,s50_77,50,10,2,323752,5,345
dfa/TTT,s50_77,50,10,49,351085,5,341
dfa/dynamicTTT,s50_78,50,10,3,323127,6,341
dfa/TTT,s50_78,50,10,49,345322,6,338
dfa/dynamicTTT,s50_79,50,10,3,323108,7,359
dfa/TTT,s50_79,50,10,49,345235,7,333
dfa/dynamicTTT,s50_80,50,10,3,323163,8,345
dfa/TTT,s50_80,50,10,49,345297,8,341
dfa/dynamicTTT,s50_81,50,10,3,323351,9,342
dfa/TTT,s50_81,50,10,49,345451,9,335
dfa/dynamicTTT,s50_82,50,10,2,341641,1,338
dfa/TTT,s50_82,63,10,61,488412,1,524
dfa/dynamicTTT,s50_83,50,10,3,335636,2,349
dfa/TTT,s50_83,63,10,61,492020,2,518
dfa/dynamicTTT,s50_84,50,10,4,348201,3,347
dfa/TTT,s50_84,63,10,61,492237,3,510
dfa/dynamicTTT,s50_85,50,10,4,348138,4,354
dfa/TTT,s50_85,63,10,61,495882,4,515
dfa/dynamicTTT,s50_86,50,10,4,348004,5,349
dfa/TTT,s50_86,63,10,61,495912,5,510
dfa/dynamicTTT,s50_87,50,10,4,348041,6,352
dfa/TTT,s50_87,63,10,61,496297,6,517
dfa/dynamicTTT,s50_88,50,10,4,348114,7,347
dfa/TTT,s50_88,63,10,61,496427,7,527
dfa/dynamicTTT,s50_89,50,10,4,348089,8,373
dfa/TTT,s50_89,63,10,61,496259,8,636
dfa/dynamicTTT,s50_90,50,10,4,348164,9,803
dfa/TTT,s50_90,63,10,61,496323,9,1216
dfa/dynamicTTT,s50_91,50,10,1,339568,1,778
dfa/TTT,s50_91,50,10,48,340725,1,800
dfa/dynamicTTT,s50_92,50,10,2,345216,2,786
dfa/TTT,s50_92,50,10,49,353588,2,1124
dfa/dynamicTTT,s50_93,50,10,2,345087,3,1127
dfa/TTT,s50_93,50,10,49,353324,3,772
dfa/dynamicTTT,s50_94,50,10,3,342730,4,903
dfa/TTT,s50_94,50,10,49,353842,4,861
dfa/dynamicTTT,s50_95,50,10,3,342980,5,871
dfa/TTT,s50_95,50,10,49,353939,5,948
dfa/dynamicTTT,s50_96,50,10,3,350896,6,708
dfa/TTT,s50_96,50,10,48,352618,6,679
dfa/dynamicTTT,s50_97,50,10,4,352522,7,783
dfa/TTT,s50_97,50,10,48,357301,7,797
dfa/dynamicTTT,s50_98,50,10,4,352520,8,902
dfa/TTT,s50_98,50,10,48,357242,8,755
dfa/dynamicTTT,s50_99,50,10,4,352484,9,822
dfa/TTT,s50_99,50,10,48,357193,9,751
dfa/dynamicTTT,s50_100,50,10,1,325250,1,712
dfa/TTT,s50_100,50,10,49,379592,1,725
dfa/dynamicTTT,s50_101,50,10,1,325232,2,691
dfa/TTT,s50_101,50,10,49,379544,2,922
dfa/dynamicTTT,s50_102,50,10,1,325109,3,738
dfa/TTT,s50_102,50,10,49,379419,3,745
dfa/dynamicTTT,s50_103,50,10,1,325109,4,723
dfa/TTT,s50_103,50,10,49,379419,4,721
dfa/dynamicTTT,s50_104,50,10,2,325283,5,741
dfa/TTT,s50_104,50,10,49,376846,5,705
dfa/dynamicTTT,s50_105,50,10,2,325336,6,411
dfa/TTT,s50_105,50,10,49,376901,6,357
dfa/dynamicTTT,s50_106,50,10,2,325306,7,362
dfa/TTT,s50_106,50,10,49,376733,7,360
dfa/dynamicTTT,s50_107,50,10,3,327394,8,350
dfa/TTT,s50_107,50,10,49,376679,8,354
dfa/dynamicTTT,s50_108,50,10,3,321652,9,351
dfa/TTT,s50_108,50,10,49,371002,9,379
dfa/dynamicTTT,s50_109,50,10,1,326630,1,371
dfa/TTT,s50_109,50,10,49,354987,1,343
dfa/dynamicTTT,s50_110,50,10,1,326542,2,409
dfa/TTT,s50_110,50,10,49,354814,2,391
dfa/dynamicTTT,s50_111,50,10,1,326564,3,437
dfa/TTT,s50_111,50,10,49,354834,3,375
dfa/dynamicTTT,s50_112,50,10,3,346153,4,363
dfa/TTT,s50_112,50,10,48,367273,4,357
dfa/dynamicTTT,s50_113,50,10,3,346129,5,358
dfa/TTT,s50_113,50,10,48,367441,5,358
dfa/dynamicTTT,s50_114,50,10,3,346005,6,359
dfa/TTT,s50_114,50,10,48,367262,6,347
dfa/dynamicTTT,s50_115,50,10,5,349631,7,621
dfa/TTT,s50_115,50,10,48,366892,7,885
dfa/dynamicTTT,s50_116,50,10,6,350172,8,833
dfa/TTT,s50_116,50,10,48,368215,8,806
dfa/dynamicTTT,s50_117,50,10,6,350298,9,782
dfa/TTT,s50_117,50,10,48,368256,9,732
dfa/dynamicTTT,s50_118,50,10,1,334727,1,669
dfa/TTT,s50_118,50,10,47,381611,1,796
dfa/dynamicTTT,s50_119,50,10,1,334647,2,788
dfa/TTT,s50_119,50,10,47,381536,2,820
dfa/dynamicTTT,s50_120,50,10,2,334715,3,754
dfa/TTT,s50_120,50,10,47,383095,3,786
dfa/dynamicTTT,s50_121,50,10,2,334872,4,677
dfa/TTT,s50_121,50,10,47,383154,4,717
dfa/dynamicTTT,s50_122,50,10,2,334918,5,721
dfa/TTT,s50_122,50,10,47,383312,5,704
dfa/dynamicTTT,s50_123,50,10,3,347626,6,707
dfa/TTT,s50_123,50,10,47,389970,6,759
dfa/dynamicTTT,s50_124,50,10,3,347792,7,683
dfa/TTT,s50_124,50,10,47,390087,7,795
dfa/dynamicTTT,s50_125,50,10,3,347781,8,704
dfa/TTT,s50_125,50,10,47,390079,8,800
dfa/dynamicTTT,s50_126,50,10,4,352245,9,774
dfa/TTT,s50_126,50,10,47,391733,9,813
dfa/dynamicTTT,s50_127,50,10,2,328395,1,718
dfa/TTT,s50_127,50,10,49,370391,1,718
dfa/dynamicTTT,s50_128,50,10,2,328309,2,681
dfa/TTT,s50_128,50,10,49,370269,2,775
dfa/dynamicTTT,s50_129,50,10,2,326711,3,651
dfa/TTT,s50_129,50,10,49,370724,3,685
dfa/dynamicTTT,s50_130,50,10,2,326711,4,707
dfa/TTT,s50_130,50,10,49,370724,4,752
dfa/dynamicTTT,s50_131,50,10,2,326661,5,1010
dfa/TTT,s50_131,50,10,49,370663,5,802
dfa/dynamicTTT,s50_132,50,10,3,329316,6,774
dfa/TTT,s50_132,50,10,49,376044,6,835
dfa/dynamicTTT,s50_133,50,10,3,331221,7,722
dfa/TTT,s50_133,50,10,49,373909,7,686
dfa/dynamicTTT,s50_134,50,10,3,331156,8,666
dfa/TTT,s50_134,50,10,49,373848,8,781
dfa/dynamicTTT,s50_135,50,10,3,331285,9,666
dfa/TTT,s50_135,50,10,49,374240,9,752
dfa/dynamicTTT,s50_136,50,10,1,340129,1,694
dfa/TTT,s50_136,50,10,46,352814,1,672
dfa/dynamicTTT,s50_137,50,10,1,340484,2,349
dfa/TTT,s50_137,50,10,46,351514,2,330
dfa/dynamicTTT,s50_138,50,10,2,342466,3,348
dfa/TTT,s50_138,50,10,46,353084,3,333
