algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s100_1,100,10,56,705900,1,708
dfa/TTT,s100_1,100,10,95,716848,1,741
dfa/dynamicTTT,s100_2,100,10,80,530107,2,523
dfa/TTT,s100_2,100,10,97,538976,2,526
dfa/dynamicTTT,s100_3,100,10,85,400236,3,368
dfa/TTT,s100_3,100,10,98,408861,3,371
dfa/dynamicTTT,s100_4,100,10,86,313824,4,272
dfa/TTT,s100_4,100,10,93,310464,4,283
dfa/dynamicTTT,s100_5,99,10,88,234247,5,192
dfa/TTT,s100_5,99,10,95,229113,5,189
dfa/dynamicTTT,s100_6,98,10,86,177010,6,129
dfa/TTT,s100_6,98,10,94,172583,6,133
dfa/dynamicTTT,s100_8,100,10,7,594074,1,654
dfa/TTT,s100_8,100,10,98,663630,1,677
dfa/dynamicTTT,s100_9,100,10,31,486793,2,497
dfa/TTT,s100_9,100,10,98,524255,2,500
dfa/dynamicTTT,s100_10,100,10,70,403481,3,376
dfa/TTT,s100_10,100,10,98,403523,3,368
dfa/dynamicTTT,s100_11,100,10,71,308154,4,263
dfa/TTT,s100_11,100,10,95,310081,4,264
dfa/dynamicTTT,s100_12,100,10,80,215648,5,176
dfa/TTT,s100_12,100,10,94,204797,5,180
dfa/dynamicTTT,s100_13,100,10,84,167013,6,134
dfa/TTT,s100_13,100,10,90,166523,6,136
dfa/dynamicTTT,s100_14,99,10,91,128696,7,104
dfa/TTT,s100_14,99,10,97,121579,7,98
dfa/dynamicTTT,s100_16,100,10,39,696198,1,739
dfa/TTT,s100_16,100,10,95,732491,1,785
dfa/dynamicTTT,s100_17,100,10,41,523834,2,548
dfa/TTT,s100_17,100,10,97,558804,2,553
dfa/dynamicTTT,s100_18,100,10,77,387404,3,392
dfa/TTT,s100_18,100,10,95,361559,3,374
dfa/dynamicTTT,s100_19,100,10,80,281073,4,273
dfa/TTT,s100_19,100,10,91,277472,4,269
dfa/dynamicTTT,s100_20,100,10,80,205029,5,202
dfa/TTT,s100_20,100,10,86,200408,5,200
dfa/dynamicTTT,s100_22,100,10,29,695423,1,816
dfa/TTT,s100_22,100,10,98,730611,1,798
dfa/dynamicTTT,s100_23,100,10,33,494907,2,582
dfa/TTT,s100_23,100,10,98,544999,2,587
dfa/dynamicTTT,s100_24,100,10,35,363728,3,435
dfa/TTT,s100_24,100,10,99,400449,3,437
dfa/dynamicTTT,s100_26,100,10,51,662227,1,806
dfa/TTT,s100_26,100,10,95,697647,1,806
dfa/dynamicTTT,s100_29,100,10,7,585052,1,760
dfa/TTT,s100_29,100,10,96,675284,1,771
dfa/dynamicTTT,s100_31,100,10,19,642091,1,836
dfa/TTT,s100_31,100,10,98,677748,1,776
dfa/dynamicTTT,s100_32,100,10,48,523362,2,621
dfa/TTT,s100_32,100,10,99,539910,2,595
dfa/dynamicTTT,s100_33,100,10,47,368735,3,421
dfa/TTT,s100_33,100,10,99,403775,3,426
dfa/dynamicTTT,s100_35,100,10,10,603789,1,796
dfa/TTT,s100_35,100,10,97,698123,1,792
dfa/dynamicTTT,s100_36,100,10,45,546722,2,648
dfa/TTT,s100_36,100,10,98,563055,2,784
dfa/dynamicTTT,s100_37,100,10,69,418139,3,455
dfa/TTT,s100_37,100,10,97,420551,3,491
dfa/dynamicTTT,s100_38,100,10,70,290404,4,298
dfa/TTT,s100_38,100,10,96,296405,4,333
dfa/dynamicTTT,s100_39,100,10,77,223520,5,210
dfa/TTT,s100_39,100,10,98,224599,5,223
dfa/dynamicTTT,s100_40,98,10,82,158763,6,145
dfa/TTT,s100_40,98,10,89,171683,6,151
dfa/dynamicTTT,s100_42,100,10,50,681204,1,831
dfa/TTT,s100_42,106,10,105,827821,1,927
dfa/dynamicTTT,s100_43,100,10,50,524522,2,619
dfa/TTT,s100_43,106,10,104,648477,2,736
dfa/dynamicTTT,s100_44,100,10,64,406446,3,428
dfa/dynamicTTT,s100_45,100,10,19,639792,1,869
dfa/TTT,s100_45,100,10,98,670006,1,828
dfa/dynamicTTT,s100_46,100,10,40,520737,2,663
dfa/TTT,s100_46,100,10,97,547623,2,611
dfa/dynamicTTT,s100_47,100,10,41,375327,3,431
dfa/dynamicTTT,s100_49,100,10,52,688434,1,798
dfa/TTT,s100_49,100,10,99,699800,1,792
dfa/dynamicTTT,s100_51,100,10,5,617481,1,820
dfa/dynamicTTT,s100_52,100,10,23,656503,1,831
dfa/TTT,s100_52,100,10,99,701273,1,832
dfa/dynamicTTT,s100_53,100,10,25,472089,2,567
dfa/TTT,s100_53,100,10,99,521935,2,570
dfa/dynamicTTT,s100_55,100,10,7,627441,1,781
dfa/TTT,s100_55,100,10,98,714387,1,811
