algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s10_1,10,10,1,40553,1,78
dfa/TTT,s10_1,10,10,9,41450,1,71
dfa/dynamicTTT,s10_2,10,10,1,40722,2,72
dfa/TTT,s10_2,10,10,9,41619,2,66
dfa/dynamicTTT,s10_3,11,10,2,46015,3,79
dfa/TTT,s10_3,11,10,10,46879,3,69
dfa/dynamicTTT,s10_4,11,10,2,47964,4,72
dfa/TTT,s10_4,11,10,10,48782,4,78
dfa/dynamicTTT,s10_5,12,10,3,53318,5,80
dfa/TTT,s10_5,12,10,11,53975,5,79
dfa/dynamicTTT,s10_6,13,10,4,61115,6,98
dfa/TTT,s10_6,13,10,12,61767,6,86
dfa/dynamicTTT,s10_7,13,10,4,78908,7,136
dfa/TTT,s10_7,13,10,12,79406,7,135
dfa/dynamicTTT,s10_8,13,10,4,77164,8,121
dfa/TTT,s10_8,13,10,12,77664,8,139
dfa/dynamicTTT,s10_9,13,10,4,92624,9,151
dfa/TTT,s10_9,13,10,12,105873,9,162
dfa/dynamicTTT,s10_10,10,10,1,44193,1,84
dfa/TTT,s10_10,10,10,9,46053,1,75
dfa/dynamicTTT,s10_11,10,10,1,56532,2,79
dfa/TTT,s10_11,10,10,9,58512,2,89
dfa/dynamicTTT,s10_12,10,10,1,76355,3,114
dfa/TTT,s10_12,10,10,9,74993,3,112
dfa/dynamicTTT,s10_13,11,10,2,91016,4,157
dfa/TTT,s10_13,11,10,10,88589,4,155
dfa/dynamicTTT,s10_14,11,10,3,86456,5,129
dfa/TTT,s10_14,11,10,10,85801,5,137
dfa/dynamicTTT,s10_15,12,10,4,98090,6,166
dfa/TTT,s10_15,12,10,11,97388,6,153
dfa/dynamicTTT,s10_16,12,10,4,130932,7,205
dfa/TTT,s10_16,12,10,11,122934,7,184
dfa/dynamicTTT,s10_17,13,10,5,147636,8,226
dfa/TTT,s10_17,13,10,12,134717,8,200
dfa/dynamicTTT,s10_18,13,10,5,147306,9,224
dfa/TTT,s10_18,13,10,12,134572,9,215
dfa/dynamicTTT,s10_19,10,10,1,39303,1,76
dfa/TTT,s10_19,10,10,9,40160,1,61
dfa/dynamicTTT,s10_20,10,10,1,38495,2,58
dfa/TTT,s10_20,10,10,9,39352,2,59
dfa/dynamicTTT,s10_21,10,10,1,50036,3,77
dfa/TTT,s10_21,10,10,9,50943,3,74
dfa/dynamicTTT,s10_22,10,10,1,64738,4,101
dfa/TTT,s10_22,10,10,9,65550,4,109
dfa/dynamicTTT,s10_23,10,10,1,87181,5,150
dfa/TTT,s10_23,10,10,9,88930,5,180
dfa/dynamicTTT,s10_24,11,10,2,102297,6,171
dfa/TTT,s10_24,11,10,10,102627,6,167
dfa/dynamicTTT,s10_25,11,10,2,124234,7,200
dfa/TTT,s10_25,11,10,10,124153,7,211
dfa/dynamicTTT,s10_26,11,10,2,157003,8,257
dfa/TTT,s10_26,11,10,10,157832,8,302
dfa/dynamicTTT,s10_27,11,10,2,156385,9,428
dfa/TTT,s10_27,11,10,10,156395,9,285
dfa/dynamicTTT,s10_28,10,10,1,49487,1,82
dfa/TTT,s10_28,10,10,9,49812,1,89
dfa/dynamicTTT,s10_29,11,10,2,57910,2,126
dfa/TTT,s10_29,11,10,10,58236,2,111
dfa/dynamicTTT,s10_30,11,10,2,57858,3,102
dfa/TTT,s10_30,11,10,10,58184,3,108
dfa/dynamicTTT,s10_31,11,10,2,57858,4,103
dfa/TTT,s10_31,11,10,10,58184,4,134
dfa/dynamicTTT,s10_32,11,10,2,57671,5,116
dfa/TTT,s10_32,11,10,10,57782,5,126
dfa/dynamicTTT,s10_33,11,10,2,57513,6,103
dfa/TTT,s10_33,11,10,10,57625,6,99
dfa/dynamicTTT,s10_34,11,10,2,74739,7,139
dfa/TTT,s10_34,11,10,10,74588,7,146
dfa/dynamicTTT,s10_35,11,10,2,88646,8,175
dfa/TTT,s10_35,11,10,9,88678,8,171
dfa/dynamicTTT,s10_36,12,10,3,99499,9,187
dfa/TTT,s10_36,12,10,10,99513,9,170
dfa/dynamicTTT,s10_37,10,10,1,37738,1,69
dfa/TTT,s10_37,10,10,9,38573,1,59
dfa/dynamicTTT,s10_38,10,10,1,49786,2,95
dfa/TTT,s10_38,10,10,9,50652,2,90
dfa/dynamicTTT,s10_39,10,10,1,49903,3,111
dfa/TTT,s10_39,10,10,9,50769,3,97
dfa/dynamicTTT,s10_40,11,10,2,56852,4,112
dfa/TTT,s10_40,11,10,10,57615,4,94
dfa/dynamicTTT,s10_41,11,10,2,79807,5,141
dfa/dynamicTTT,s10_42,11,10,3,45673,1,77
dfa/TTT,s10_42,11,10,10,44196,1,84
dfa/dynamicTTT,s10_43,11,10,3,45605,2,82
dfa/TTT,s10_43,11,10,10,44133,2,76
dfa/dynamicTTT,s10_44,11,10,3,59705,3,107
dfa/TTT,s10_44,11,10,10,57855,3,153
dfa/dynamicTTT,s10_45,12,10,4,65717,4,121
dfa/TTT,s10_45,12,10,11,63853,4,138
dfa/dynamicTTT,s10_46,12,10,4,65687,5,129
dfa/TTT,s10_46,12,10,11,63786,5,110
dfa/dynamicTTT,s10_47,13,10,4,74495,6,140
dfa/TTT,s10_47,13,10,12,75715,6,135
