algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s100_1,101,10,2,804217,1,935
dfa/TTT,s100_1,101,10,97,915862,1,929
dfa/dynamicTTT,s100_2,102,10,3,816723,2,944
dfa/TTT,s100_2,102,10,98,927548,2,935
dfa/dynamicTTT,s100_3,103,10,4,832430,3,959
dfa/TTT,s100_3,103,10,99,939720,3,961
dfa/dynamicTTT,s100_4,104,10,6,852603,4,971
dfa/TTT,s100_4,104,10,102,952304,4,966
dfa/dynamicTTT,s100_5,105,10,7,867838,5,1003
dfa/TTT,s100_5,105,10,103,964253,5,976
dfa/dynamicTTT,s100_6,106,10,8,890752,6,1009
dfa/TTT,s100_6,106,10,104,986041,6,996
dfa/dynamicTTT,s100_7,107,10,10,904828,7,1022
dfa/TTT,s100_7,107,10,105,998477,7,1010
dfa/dynamicTTT,s100_8,108,10,11,928271,8,1044
dfa/TTT,s100_8,108,10,106,1020953,8,1029
dfa/dynamicTTT,s100_9,109,10,12,951151,9,1062
dfa/TTT,s100_9,109,10,107,1042583,9,1049
dfa/dynamicTTT,s100_11,101,10,2,807980,1,951
dfa/TTT,s100_11,101,10,99,924069,1,936
dfa/dynamicTTT,s100_12,102,10,3,849194,2,974
dfa/TTT,s100_12,102,10,100,953249,2,954
dfa/dynamicTTT,s100_13,103,10,4,862966,3,988
dfa/TTT,s100_13,103,10,101,952802,3,961
dfa/dynamicTTT,s100_14,104,10,5,879164,4,1005
dfa/TTT,s100_14,104,10,102,968326,4,970
dfa/dynamicTTT,s100_15,105,10,6,895813,5,1012
dfa/TTT,s100_15,105,10,103,985905,5,986
dfa/dynamicTTT,s100_16,106,10,7,918009,6,1038
dfa/TTT,s100_16,106,10,104,1007924,6,1002
dfa/dynamicTTT,s100_17,107,10,8,927695,7,1018
dfa/TTT,s100_17,107,10,105,1024730,7,972
dfa/dynamicTTT,s100_18,108,10,10,940823,8,1061
dfa/TTT,s100_18,108,10,106,1045191,8,1034
dfa/dynamicTTT,s100_19,109,10,11,952220,9,1071
dfa/TTT,s100_19,109,10,107,1056125,9,1049
dfa/dynamicTTT,s100_20,101,10,2,828006,1,1002
dfa/dynamicTTT,s100_21,101,10,2,785876,1,907
dfa/TTT,s100_21,101,10,100,925961,1,931
dfa/dynamicTTT,s100_22,102,10,3,808405,2,920
dfa/TTT,s100_22,102,10,101,948163,2,952
dfa/dynamicTTT,s100_23,103,10,5,850015,3,960
dfa/TTT,s100_23,103,10,102,988516,3,977
dfa/dynamicTTT,s100_24,104,10,6,864717,4,961
dfa/TTT,s100_24,104,10,102,999347,4,989
dfa/dynamicTTT,s100_25,105,10,6,866798,5,972
dfa/TTT,s100_25,105,10,103,1006832,5,997
dfa/dynamicTTT,s100_26,106,10,7,881979,6,988
dfa/TTT,s100_26,106,10,104,1022286,6,1013
dfa/dynamicTTT,s100_27,107,10,8,894922,7,993
dfa/TTT,s100_27,107,10,105,1025594,7,1011
dfa/dynamicTTT,s100_28,108,10,9,911122,8,1030
dfa/TTT,s100_28,108,10,106,1040839,8,1040
dfa/dynamicTTT,s100_29,109,10,11,924367,9,1034
dfa/TTT,s100_29,109,10,107,1052336,9,1039
dfa/dynamicTTT,s100_30,101,10,2,845295,1,1045
dfa/TTT,s100_30,101,10,96,949955,1,962
dfa/dynamicTTT,s100_31,102,10,3,861770,2,1083
dfa/TTT,s100_31,102,10,97,964727,2,977
dfa/dynamicTTT,s100_32,103,10,4,881857,3,1071
dfa/TTT,s100_32,103,10,98,982453,3,997
dfa/dynamicTTT,s100_33,104,10,5,895599,4,1084
dfa/TTT,s100_33,104,10,99,996644,4,1011
dfa/dynamicTTT,s100_34,105,10,6,917200,5,1094
dfa/TTT,s100_34,105,10,100,1009662,5,1018
dfa/dynamicTTT,s100_35,106,10,8,936774,6,1133
dfa/TTT,s100_35,106,10,100,1021465,6,1031
dfa/dynamicTTT,s100_36,107,10,9,961110,7,1151
dfa/TTT,s100_36,107,10,101,1056755,7,1056
dfa/dynamicTTT,s100_37,108,10,10,967457,8,1143
dfa/TTT,s100_37,108,10,102,1045490,8,1069
dfa/dynamicTTT,s100_38,109,10,11,983203,9,1158
dfa/TTT,s100_38,109,10,103,1061427,9,1076
dfa/dynamicTTT,s100_39,101,10,2,818283,1,974
dfa/TTT,s100_39,101,10,99,968194,1,969
dfa/dynamicTTT,s100_40,102,10,3,839129,2,990
dfa/TTT,s100_40,102,10,100,988036,2,980
dfa/dynamicTTT,s100_41,103,10,4,862520,3,1005
dfa/TTT,s100_41,103,10,101,1009045,3,999
dfa/dynamicTTT,s100_42,104,10,6,901027,4,1037
dfa/TTT,s100_42,104,10,102,1014383,4,1014
dfa/dynamicTTT,s100_43,105,10,7,925718,5,1050
dfa/TTT,s100_43,105,10,103,1037823,5,1026
dfa/dynamicTTT,s100_44,106,10,9,934718,6,1066
dfa/TTT,s100_44,106,10,104,1041036,6,1035
dfa/dynamicTTT,s100_45,107,10,10,942311,7,1070
dfa/TTT,s100_45,107,10,105,1048895,7,1041
dfa/dynamicTTT,s100_46,108,10,12,952221,8,1075
dfa/TTT,s100_46,108,10,105,1059005,8,1054
dfa/dynamicTTT,s100_47,109,10,14,965436,9,1094
dfa/TTT,s100_47,109,10,105,1071234,9,1058
dfa/dynamicTTT,s100_48,101,10,2,800049,1,935
dfa/TTT,s100_48,101,10,95,895421,1,907
dfa/dynamicTTT,s100_49,102,10,3,819762,2,950
dfa/TTT,s100_49,102,10,96,915225,2,922
dfa/dynamicTTT,s100_50,103,10,5,836403,3,966
dfa/dynamicTTT,s100_51,101,10,2,806481,1,965
dfa/TTT,s100_51,101,10,98,916117,1,924
dfa/dynamicTTT,s100_52,102,10,3,823694,2,987
dfa/TTT,s100_52,102,10,99,932954,2,941
dfa/dynamicTTT,s100_53,103,10,4,840462,3,1013
dfa/TTT,s100_53,103,10,100,952879,3,956
dfa/dynamicTTT,s100_54,104,10,5,853829,4,1027
dfa/TTT,s100_54,104,10,101,967347,4,970
dfa/dynamicTTT,s100_55,105,10,6,868202,5,1035
dfa/TTT,s100_55,105,10,102,981484,5,978
dfa/dynamicTTT,s100_56,106,10,7,883223,6,1048
dfa/TTT,s100_56,106,10,103,996353,6,991
dfa/dynamicTTT,s100_57,107,10,8,896205,7,1064
dfa/TTT,s100_57,107,10,104,1008082,7,1003
dfa/dynamicTTT,s100_58,108,10,9,905720,8,1077
dfa/TTT,s100_58,108,10,105,1018999,8,1023
dfa/dynamicTTT,s100_59,109,10,10,917394,9,1099
dfa/TTT,s100_59,109,10,106,1028859,9,1030
dfa/dynamicTTT,s100_60,101,10,2,775853,1,938
dfa/TTT,s100_60,101,10,99,875608,1,908
dfa/dynamicTTT,s100_61,102,10,4,788763,2,945
dfa/TTT,s100_61,102,10,100,883176,2,915
dfa/dynamicTTT,s100_62,103,10,5,804681,3,961
dfa/TTT,s100_62,103,10,101,898007,3,927
dfa/dynamicTTT,s100_63,104,10,6,815509,4,972
dfa/TTT,s100_63,104,10,102,915437,4,943
dfa/dynamicTTT,s100_64,105,10,7,836677,5,988
dfa/TTT,s100_64,105,10,103,935567,5,959
dfa/dynamicTTT,s100_65,106,10,8,845831,6,1035
dfa/TTT,s100_65,106,10,104,944778,6,962
dfa/dynamicTTT,s100_66,107,10,9,878941,7,1018
dfa/TTT,s100_66,107,10,105,977835,7,988
dfa/dynamicTTT,s100_67,108,10,10,892165,8,1028
dfa/TTT,s100_67,108,10,106,1000892,8,1004
dfa/dynamicTTT,s100_68,109,10,11,914211,9,1046
dfa/TTT,s100_68,109,10,107,1011896,9,1015
dfa/dynamicTTT,s100_69,101,10,2,792855,1,1004
dfa/TTT,s100_69,101,10,100,913808,1,953
dfa/dynamicTTT,s100_70,102,10,3,815815,2,1022
dfa/TTT,s100_70,102,10,101,936936,2,968
dfa/dynamicTTT,s100_71,103,10,4,831823,3,1038
dfa/TTT,s100_71,103,10,102,952979,3,982
dfa/dynamicTTT,s100_72,104,10,5,852628,4,1053
dfa/TTT,s100_72,104,10,103,973908,4,997
dfa/dynamicTTT,s100_73,105,10,7,869606,5,1061
dfa/TTT,s100_73,105,10,104,980306,5,1001
dfa/dynamicTTT,s100_74,106,10,8,879708,6,1070
dfa/TTT,s100_74,106,10,105,996161,6,1018
dfa/dynamicTTT,s100_75,107,10,9,898180,7,1094
dfa/TTT,s100_75,107,10,106,1013942,7,1034
dfa/dynamicTTT,s100_76,108,10,10,917329,8,1105
dfa/TTT,s100_76,108,10,107,1032422,8,1049
dfa/dynamicTTT,s100_77,109,10,11,935320,9,1125
dfa/TTT,s100_77,109,10,108,1049836,9,1066
dfa/dynamicTTT,s100_78,101,10,3,799942,1,933
dfa/TTT,s100_78,101,10,98,898093,1,915
dfa/dynamicTTT,s100_79,102,10,4,820084,2,951
dfa/TTT,s100_79,102,10,99,919470,2,951
dfa/dynamicTTT,s100_80,103,10,5,835473,3,967
dfa/TTT,s100_80,103,10,100,929855,3,951
dfa/dynamicTTT,s100_81,104,10,6,846852,4,971
dfa/TTT,s100_81,104,10,101,941821,4,961
dfa/dynamicTTT,s100_82,105,10,7,860030,5,989
dfa/TTT,s100_82,105,10,102,954774,5,977
dfa/dynamicTTT,s100_83,106,10,8,881683,6,1003
dfa/TTT,s100_83,106,10,103,976652,6,992
dfa/dynamicTTT,s100_84,107,10,9,904624,7,1026
dfa/TTT,s100_84,107,10,104,999578,7,1001
dfa/dynamicTTT,s100_85,108,10,10,906130,8,1026
dfa/TTT,s100_85,108,10,105,1003951,8,1012
dfa/dynamicTTT,s100_86,109,10,11,918843,9,1039
dfa/TTT,s100_86,109,10,106,1014033,9,1021
dfa/dynamicTTT,s100_87,101,10,2,813060,1,994
dfa/TTT,s100_87,101,10,100,935478,1,942
dfa/dynamicTTT,s100_88,102,10,3,833153,2,1009
dfa/TTT,s100_88,102,10,101,955006,2,960
dfa/dynamicTTT,s100_89,103,10,5,855072,3,1025
dfa/TTT,s100_89,103,10,102,967105,3,973
dfa/dynamicTTT,s100_91,101,10,2,781602,1,941
dfa/TTT,s100_91,101,10,98,863992,1,908
dfa/dynamicTTT,s100_92,102,10,4,796531,2,986
dfa/TTT,s100_92,102,10,99,880663,2,917
dfa/dynamicTTT,s100_93,103,10,5,816795,3,961
dfa/TTT,s100_93,103,10,100,898992,3,933
dfa/dynamicTTT,s100_94,104,10,7,837930,4,977
dfa/TTT,s100_94,104,10,101,916371,4,946
dfa/dynamicTTT,s100_95,105,10,9,857541,5,993
dfa/TTT,s100_95,105,10,102,933039,5,968
dfa/dynamicTTT,s100_96,106,10,11,867836,6,1005
dfa/TTT,s100_96,106,10,103,944357,6,975
dfa/dynamicTTT,s100_97,107,10,12,880680,7,1022
dfa/TTT,s100_97,107,10,103,982818,7,998
dfa/dynamicTTT,s100_98,108,10,14,901975,8,1043
dfa/TTT,s100_98,108,10,104,1001581,8,1013
dfa/dynamicTTT,s100_99,109,10,15,916539,9,1055
dfa/TTT,s100_99,109,10,105,1015901,9,1025
dfa/dynamicTTT,s100_100,101,10,3,796692,1,963
dfa/TTT,s100_100,101,10,99,881954,1,917
dfa/dynamicTTT,s100_101,102,10,4,814341,2,1001
dfa/TTT,s100_101,102,10,100,899587,2,930
dfa/dynamicTTT,s100_103,101,10,2,809336,1,961
dfa/TTT,s100_103,101,10,99,894862,1,918
dfa/dynamicTTT,s100_104,102,10,3,829791,2,975
dfa/TTT,s100_104,102,10,100,914134,2,933
dfa/dynamicTTT,s100_105,103,10,4,841693,3,995
dfa/TTT,s100_105,103,10,101,922797,3,942
dfa/dynamicTTT,s100_106,104,10,6,866575,4,1008
dfa/TTT,s100_106,104,10,102,941822,4,958
dfa/dynamicTTT,s100_107,105,10,7,877958,5,1024
dfa/TTT,s100_107,105,10,103,952858,5,971
dfa/dynamicTTT,s100_108,106,10,8,899073,6,1041
dfa/TTT,s100_108,106,10,104,972780,6,988
dfa/dynamicTTT,s100_109,107,10,9,917762,7,1058
dfa/TTT,s100_109,107,10,105,990770,7,1002
dfa/dynamicTTT,s100_110,108,10,11,930325,8,1065
dfa/TTT,s100_110,108,10,106,1002541,8,1008
dfa/dynamicTTT,s100_111,109,10,12,952411,9,1085
dfa/TTT,s100_111,109,10,107,1024512,9,1035
dfa/dynamicTTT,s100_112,101,10,2,814730,1,960
dfa/TTT,s100_112,115,10,113,1211327,1,1238
dfa/dynamicTTT,s100_113,102,10,3,831823,2,979
dfa/TTT,s100_113,116,10,114,1229663,2,1258
dfa/dynamicTTT,s100_114,103,10,4,852220,3,997
dfa/TTT,s100_114,117,10,115,1238218,3,1269
dfa/dynamicTTT,s100_115,104,10,5,880136,4,1021
dfa/TTT,s100_115,118,10,116,1263580,4,1296
dfa/dynamicTTT,s100_116,105,10,6,897876,5,1055
dfa/TTT,s100_116,119,10,117,1293213,5,1300
dfa/dynamicTTT,s100_117,106,10,7,900092,6,1031
dfa/TTT,s100_117,120,10,118,1297111,6,1305
dfa/dynamicTTT,s100_118,107,10,9,922004,7,1043
dfa/TTT,s100_118,121,10,119,1315076,7,1329
dfa/dynamicTTT,s100_119,108,10,11,933726,8,1058
dfa/TTT,s100_119,122,10,121,1318575,8,1333
dfa/dynamicTTT,s100_120,109,10,16,953304,9,1073
dfa/TTT,s100_120,126,10,124,1383297,9,1454
dfa/dynamicTTT,s100_121,101,10,2,793425,1,927
dfa/TTT,s100_121,101,10,99,904442,1,906
dfa/dynamicTTT,s100_122,102,10,3,803085,2,936
dfa/TTT,s100_122,102,10,96,895141,2,898
dfa/dynamicTTT,s100_123,103,10,4,822952,3,953
dfa/TTT,s100_123,103,10,97,914868,3,914
dfa/dynamicTTT,s100_124,104,10,5,843590,4,964
dfa/TTT,s100_124,104,10,98,935360,4,927
dfa/dynamicTTT,s100_125,105,10,6,853323,5,935
dfa/TTT,s100_125,105,10,100,948452,5,913
dfa/dynamicTTT,s100_126,106,10,9,867980,6,1026
dfa/TTT,s100_126,106,10,101,962527,6,984
dfa/dynamicTTT,s100_127,107,10,11,886936,7,1024
dfa/TTT,s100_127,107,10,102,979155,7,980
dfa/dynamicTTT,s100_128,108,10,12,900965,8,1040
dfa/TTT,s100_128,108,10,103,994750,8,995
dfa/dynamicTTT,s100_129,109,10,14,914457,9,1053
dfa/TTT,s100_129,109,10,104,1012155,9,1007
dfa/dynamicTTT,s100_130,101,10,2,781326,1,950
dfa/TTT,s100_130,101,10,98,897281,1,921
dfa/dynamicTTT,s100_131,102,10,3,794393,2,963
dfa/TTT,s100_131,102,10,99,908960,2,938
dfa/dynamicTTT,s100_132,103,10,4,806524,3,973
dfa/TTT,s100_132,103,10,100,921761,3,950
dfa/dynamicTTT,s100_133,104,10,6,827270,4,986
dfa/TTT,s100_133,104,10,101,942082,4,964
dfa/dynamicTTT,s100_134,105,10,7,849207,5,1008
dfa/TTT,s100_134,105,10,102,964268,5,984
dfa/dynamicTTT,s100_135,106,10,8,869828,6,1029
dfa/TTT,s100_135,106,10,103,986076,6,1000
dfa/dynamicTTT,s100_136,107,10,9,889974,7,1041
dfa/TTT,s100_136,107,10,104,1006472,7,1018
dfa/dynamicTTT,s100_137,108,10,10,910701,8,1067
dfa/TTT,s100_137,108,10,105,1027505,8,1032
dfa/dynamicTTT,s100_138,109,10,12,953467,9,1103
dfa/TTT,s100_138,109,10,106,1043140,9,1033
dfa/dynamicTTT,s100_139,101,10,3,822609,1,953
dfa/TTT,s100_139,101,10,100,898922,1,917
dfa/dynamicTTT,s100_140,102,10,4,838055,2,966
dfa/TTT,s100_140,102,10,101,914331,2,936
dfa/dynamicTTT,s100_141,103,10,5,853497,3,988
dfa/TTT,s100_141,103,10,102,930551,3,954
dfa/dynamicTTT,s100_142,104,10,6,873500,4,999
dfa/TTT,s100_142,104,10,103,949855,4,960
dfa/dynamicTTT,s100_143,105,10,7,881929,5,1011
dfa/TTT,s100_143,105,10,104,954729,5,970
dfa/dynamicTTT,s100_144,106,10,8,905524,6,1033
dfa/TTT,s100_144,106,10,105,957815,6,977
dfa/dynamicTTT,s100_145,107,10,9,926224,7,1046
dfa/TTT,s100_145,107,10,106,978407,7,995
dfa/dynamicTTT,s100_146,108,10,10,934087,8,1062
dfa/TTT,s100_146,108,10,107,985950,8,1003
dfa/dynamicTTT,s100_147,109,10,11,969555,9,1088
dfa/TTT,s100_147,109,10,108,1021305,9,1036
